,id,original_title,popularity,release_date
197,312831,The Hallow,0.719407,11/6/15
198,316322,Barbie in Princess Power,0.7141310000000001,1/29/15
199,301846,Howl,0.7073550000000001,10/1/15
200,306745,Freeheld,0.706023,10/2/15
201,332340,Man Up,0.7013699999999989,5/29/15
202,292431,Love,0.699932,7/6/15
203,300693,Truth,0.69957,9/12/15
204,333381,Return to Sender,0.696184,5/31/15
205,256924,Danny Collins,0.690479,3/20/15
206,253414,Rock the Kasbah,0.6895789999999989,10/22/15
207,254172,Fathers and Daughters,0.689571,10/1/15
208,320588,"Hello, My Name Is Doris",0.6737920000000001,11/27/15
209,157544,The Vatican Tapes,0.669351,7/24/15
210,283235,99 Homes,0.661471,9/25/15
211,243938,Hot Tub Time Machine 2,0.6611630000000001,2/20/15
212,86835,Knight of Cups,0.654335,9/10/15
213,254905,Manglehorn,0.654046,6/3/15
214,309242,Mississippi Grind,0.649628,7/4/15
215,332502,400 Days,0.644786,10/29/15
216,286192,Lava,0.640151,6/19/15
217,284674,Air,0.638556999999999,8/14/15
218,360055,Riot,0.633608,9/27/15
219,352179,Septembers of Shiraz,0.629560999999999,9/15/15
220,246127,Every Thing Will Be Fine,0.607124,4/2/15
221,338676,Extinction,0.606113,8/7/15
222,330982,The Childhood of a Leader,0.604928,9/2/15
223,232572,A Walk in the Woods,0.602165,9/2/15
224,112454,Clown,0.599751,3/2/15
225,243940,The Lazarus Effect,0.599655,1/29/15
226,321528,Batman vs. Robin,0.589472,4/14/15
227,317744,Careful What You Wish For,0.586735,5/6/15
228,300792,Racing Extinction,0.584363,1/24/15
229,239573,Unfinished Business,0.577814,3/5/15
230,167810,Lost River,0.570743999999999,4/8/15
231,319075,Cobain: Montage of Heck,0.569443,3/23/15
232,316042,Hyena Road,0.561032,10/9/15
233,334527,Criminal Activities,0.560743999999999,11/20/15
234,300153,Life,0.560423,7/24/15
235,228203,"McFarland, USA",0.553238,2/20/15
236,332704,Backtrack,0.5485869999999989,7/25/15
237,278236,X+Y,0.5478270000000001,3/13/15
238,276839,Home Sweet Hell,0.546458,3/13/15
239,326215,Ooops! Noah is Gone...,0.542568,4/9/15
240,363689,The Unspoken,0.5327,10/24/15
241,318256,Hot Girls Wanted,0.532239,5/29/15
242,299245,The Gallows,0.532205,7/10/15
243,333344,Dirty Weekend,0.52985,9/4/15
244,357096,I Spit on Your Grave III: Vengeance is Mine,0.527957,10/9/15
245,309299,Experimenter,0.526642,10/16/15
246,314385,By the Sea,0.524315,11/12/15
247,333596,Woodlawn,0.52025,10/16/15
248,361042,The Hollow,0.516954,10/24/15
249,353686,Visions,0.515401,8/28/15
250,318954,Beyond the Mask,0.514735,4/6/15
251,289191,I Am Here,0.513386,6/12/15
252,324333,Wild Horses,0.50732,6/5/15
253,252164,Pressure,0.5048279999999989,6/4/15
254,360784,Hidden,0.5024890000000001,9/15/15
255,336313,Hell & Back,0.49726499999999996,10/2/15
256,240483,Robot Overlords,0.48635100000000003,1/29/15
257,321494,The Man with the Iron Fists 2,0.482422,3/10/15
258,353595,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,0.47784,8/25/15
259,360603,Crown for Christmas,0.47634099999999996,11/27/15
260,264337,Spare Parts,0.475473,1/16/15
261,289716,The World Made Straight,0.474788,1/9/15
262,296065,Last Shift,0.47462600000000005,10/6/15
263,337029,Frankenstein,0.473344,11/3/15
264,317952,Cartel Land,0.471393,7/3/15
265,325358,Superfast!,0.471091,3/5/15
266,272548,Moonwalkers,0.470991,3/14/15
267,340275,Chi-Raq,0.470124,12/4/15
268,309887,Bad Asses on the Bayou,0.467556,3/6/15
269,302429,Strange Magic,0.465707,1/23/15
270,253331,Black or White,0.46208999999999995,1/30/15
271,293771,Dead Rising,0.45959700000000003,3/27/15
272,323373,Deathgasm,0.454151,8/28/15
273,323027,Justice League: Gods and Monsters,0.45293900000000004,7/28/15
274,297806,I Saw the Light,0.45087200000000005,9/11/15
275,253626,Good Kill,0.45016000000000006,4/9/15
276,354251,Southbound,0.44426499999999997,9/17/15
277,329637,Star Trek: Renegades,0.444193,8/1/15
278,257444,The Boy,0.443525,8/14/15
279,355338,Riley's First Date?,0.44283500000000003,11/3/15
280,271736,The Program,0.44242700000000007,9/16/15
281,309581,Lila & Eve,0.442067,7/31/15
282,293970,The Final Girls,0.441882,10/9/15
283,279690,He Never Died,0.441402,3/17/15
284,364067,A Very Murray Christmas,0.43959799999999893,12/4/15
285,318922,Kill Your Friends,0.438409,11/6/15
286,335077,Battle For SkyArk,0.43708800000000003,5/18/15
287,266639,Jem and the Holograms,0.43558199999999997,10/22/15
288,274504,The Adderall Diaries,0.43307299999999893,4/16/15
289,244316,Grizzly,0.429892,2/27/15
290,352208,Where to Invade Next,0.427116,12/23/15
291,283587,Beasts of No Nation,0.424813,9/11/15
292,311539,A Christmas Horror Story,0.42316099999999995,10/2/15
293,277713,Sunset Song,0.42178999999999994,12/4/15
294,347945,Synchronicity,0.429756,7/22/15
295,363483,12 Gifts of Christmas,0.417191,11/26/15
296,344854,The Pack,0.415041,8/5/15
297,234212,Demonic,0.41491300000000003,2/12/15
298,354220,The Girl in the Photographs,0.370258,9/14/15
299,283596,The Legend of Barney Thomson,0.41287700000000005,7/24/15
300,250225,The Duke of Burgundy,0.41250299999999995,1/23/15
301,307479,88,0.40969799999999995,1/6/15
302,339145,The Girl in the Book,0.405095,6/13/15
303,323660,Avengers Grimm,0.404511,3/17/15
304,308638,The D Train,0.40223600000000004,5/8/15
305,359983,The Lion Guard: Return of the Roar,0.250209,11/22/15
306,300155,A Royal Night Out,0.399947,5/14/15
307,328595,Parallels,0.398982,3/1/15
308,327528,Born to Be Blue,0.396791,9/13/15
309,329540,The Marine 4: Moving Target,0.394466,4/10/15
310,306964,Tales of Halloween,0.393642,10/16/15
311,360387,Blunt Force Trauma,0.39356599999999997,10/5/15
312,362185,Operator,0.391326,8/21/15
313,94365,The Human Centipede 3 (Final Sequence),0.386529,5/22/15
314,241855,Spring,0.38340599999999997,3/20/15
315,322518,The Intruders,0.383183,2/24/15
316,291272,We Are Still Here,0.382997,6/5/15
317,324963,Monster High: Haunted,0.7128899999999989,3/2/15
318,342927,3-Headed Shark Attack,0.378836,7/20/15
